# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                       0.20
2                       0.21
4                       0.20
8                       0.21
16                      0.20
32                      0.20
64                      0.23
128                     0.27
256                     0.27
512                     0.30
1024                    0.33
2048                    0.50
4096                    0.80
8192                    1.15
16384                   2.83
32768                   5.43
65536                  11.73
131072                 26.04
262144                 34.85
524288                 72.59
1048576               136.56
