BARE METAL

hpc43203 r35c2t6n1 220$ for FILE in */**; do mpirun -np 2 $FILE; done

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                       0.20
2                       0.21
4                       0.20
8                       0.21
16                      0.20
32                      0.20
64                      0.23
128                     0.27
256                     0.27
512                     0.30
1024                    0.33
2048                    0.50
4096                    0.80
8192                    1.15
16384                   2.83
32768                   5.43
65536                  11.73
131072                 26.04
262144                 34.85
524288                 72.59
1048576               136.56

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                       0.21
2                       0.21
4                       0.21
8                       0.21
16                      0.21
32                      0.21
64                      0.23
128                     0.28
256                     0.28
512                     0.31
1024                    0.33
2048                    0.50
4096                    0.80
8192                    1.21
16384                   2.85
32768                   5.74
65536                  11.59
131072                 25.94
262144                 35.08
524288                 70.83
1048576               135.30

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                       0.23
8                       0.26
16                      0.25
32                      0.25
64                      0.24
128                     0.32
256                     0.34
512                     0.43
1024                    0.58
2048                    0.87
4096                    1.41
8192                    2.49
16384                   4.13
32768                   7.85
65536                  15.68
131072                 32.93
262144                 71.76
524288                130.59
1048576               257.75

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                       0.21
2                       0.20
4                       0.21
8                       0.20
16                      0.20
32                      0.21
64                      0.21
128                     0.27
256                     0.27
512                     0.29
1024                    0.33
2048                    0.55
4096                    0.76
8192                    1.49
16384                   2.92
32768                   5.52
65536                  12.35
131072                 29.61
262144                 33.73
524288                 72.00
1048576               136.18

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                       0.22
2                       0.22
4                       0.22
8                       0.22
16                      0.22
32                      0.22
64                      0.22
128                     0.29
256                     0.29
512                     0.31
1024                    0.36
2048                    0.52
4096                    0.79
8192                    1.30
16384                   2.91
32768                   5.64
65536                  12.00
131072                 29.37
262144                 34.14
524288                 73.38
1048576               137.39

# OSU MPI Barrier Latency Test v5.9
# Avg Latency(us)
             0.17

# OSU MPI Broadcast Latency Test v5.9
# Size       Avg Latency(us)
1                       0.14
2                       0.16
4                       0.14
8                       0.17
16                      0.13
32                      0.15
64                      0.14
128                     0.19
256                     0.20
512                     0.20
1024                    0.25
2048                    0.35
4096                    0.59
8192                    0.86
16384                   1.65
32768                   3.28
65536                   5.55
131072                 11.45
262144                 25.41
524288                 36.42
1048576                77.01

# OSU MPI Gather Latency Test v5.9
# Size       Avg Latency(us)
1                       0.11
2                       0.12
4                       0.11
8                       0.11
16                      0.11
32                      0.12
64                      0.11
128                     0.17
256                     0.16
512                     0.19
1024                    0.22
2048                    0.31
4096                    0.48
8192                    1.01
16384                   1.46
32768                   2.87
65536                   5.93
131072                 12.40
262144                 25.50
524288                 39.85
1048576                76.79

# OSU MPI Gatherv Latency Test v5.9
# Size       Avg Latency(us)
1                       0.12
2                       0.11
4                       0.12
8                       0.10
16                      0.11
32                      0.12
64                      0.12
128                     0.16
256                     0.17
512                     0.18
1024                    0.22
2048                    0.34
4096                    0.40
8192                    0.81
16384                   1.40
32768                   2.84
65536                   5.77
131072                 12.08
262144                 19.02
524288                 42.09
1048576                75.84

# OSU MPI Non-blocking Allgather Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.54              0.97              0.48              0.00
2                       1.60              0.98              0.47              0.00
4                       1.58              0.97              0.53              0.00
8                       1.57              0.96              0.50              0.00
16                      1.59              0.98              0.50              0.00
32                      1.61              0.98              0.49              0.00
64                      1.57              0.96              0.52              0.00
128                     1.68              0.97              0.58              0.00
256                     1.69              0.98              0.58              0.00
512                     1.69              0.97              0.60              0.00
1024                    1.75              0.98              0.67              0.00
2048                    1.92              0.97              0.84              0.00
4096                    3.06              1.89              1.11              0.00
8192                    3.65              1.93              1.67              0.00
16384                  11.56              6.00              5.32              0.00
32768                  15.39              8.28              7.14              0.45
65536                  23.23             12.14             11.44              3.01
131072                 38.83             20.24             18.66              0.40
262144                 78.24             39.82             37.96              0.00
524288                164.00             78.10             74.43              0.00
1048576               304.01            141.41            135.33              0.00

# OSU MPI Non-blocking Allgatherv Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       1.60              0.96              0.52              0.00
2                       1.59              0.96              0.51              0.00
4                       1.58              0.96              0.51              0.00
8                       1.59              0.96              0.51              0.00
16                      1.56              0.96              0.52              0.00
32                      1.56              0.96              0.50              0.00
64                      1.56              0.96              0.51              0.00
128                     1.64              0.95              0.58              0.00
256                     1.67              0.96              0.59              0.00
512                     1.69              0.96              0.60              0.00
1024                    1.80              1.01              0.69              0.00
2048                    2.80              1.88              0.89              0.00
4096                    3.08              1.91              1.12              0.00
8192                    3.62              1.91              1.65              0.00
16384                  11.91              6.49              5.52              1.74
32768                  15.38              8.20              7.08              0.00
65536                  23.21             11.99             11.09              0.00
131072                 39.12             20.22             18.81              0.00
262144                 77.42             38.70             36.77              0.00
524288                164.37             78.92             75.17              0.00
1048576               305.43            141.47            135.67              0.00

# OSU MPI Non-blocking Allreduce Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

