# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                       0.85
2                       0.89
4                       0.86
8                       0.89
16                      0.90
32                      0.90
64                      0.89
128                     0.90
256                     0.92
512                     1.22
1024                    1.23
2048                    1.30
4096                    2.59
8192                    2.94
16384                   3.65
32768                   4.70
65536                   7.80
131072                 20.01
262144                 46.75
524288                 96.72
1048576               190.98

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                       0.23
8                       0.26
16                      0.25
32                      0.25
64                      0.24
128                     0.32
256                     0.34
512                     0.43
1024                    0.58
2048                    0.87
4096                    1.41
8192                    2.49
16384                   4.13
32768                   7.85
65536                  15.68
131072                 32.93
262144                 71.76
524288                130.59
1048576               257.75
