CONTAINER

92f58a51$for FILE in */**; do mpirun -np 2 $FILE; done

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
1                       0.85
2                       0.89
4                       0.86
8                       0.89
16                      0.90
32                      0.90
64                      0.89
128                     0.90
256                     0.92
512                     1.22
1024                    1.23
2048                    1.30
4096                    2.59
8192                    2.94
16384                   3.65
32768                   4.70
65536                   7.80
131072                 20.01
262144                 46.75
524288                 96.72
1048576               190.98

# OSU MPI Allgatherv Latency Test v5.9
# Size       Avg Latency(us)
1                       0.88
2                       0.91
4                       0.89
8                       0.90
16                      0.91
32                      0.91
64                      0.95
128                     0.92
256                     0.95
512                     1.24
1024                    1.26
2048                    1.33
4096                    2.68
8192                    3.01
16384                   3.74
32768                   4.62
65536                   7.73
131072                 19.35
262144                 44.48
524288                 93.49
1048576               187.29

# OSU MPI Allreduce Latency Test v5.9
# Size       Avg Latency(us)
4                       0.96
8                       0.97
16                      0.97
32                      1.00
64                      1.02
128                     1.01
256                     1.11
512                     1.43
1024                    1.52
2048                    1.76
4096                    3.74
8192                    4.90
16384                   7.46
32768                  11.03
65536                  18.11
131072                 34.68
262144                103.39
524288                226.50
1048576               444.57

# OSU MPI All-to-All Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                       0.85
2                       0.88
4                       0.83
8                       0.88
16                      0.85
32                      0.89
64                      0.89
128                     0.90
256                     0.92
512                     1.25
1024                    1.21
2048                    1.33
4096                    2.59
8192                    2.97
16384                   3.46
32768                   4.57
65536                   8.62
131072                 22.42
262144                 50.07
524288                 97.04
1048576               193.96

# OSU MPI All-to-Allv Personalized Exchange Latency Test v5.9
# Size       Avg Latency(us)
1                       0.90
2                       0.94
4                       0.90
8                       0.94
16                      0.93
32                      0.95
64                      0.94
128                     0.94
256                     0.96
512                     1.27
1024                    1.28
2048                    1.36
4096                    2.65
8192                    3.10
16384                   3.64
32768                   5.17
65536                   9.15
131072                 22.27
262144                 49.10
524288                 98.43
1048576               189.31

# OSU MPI Barrier Latency Test v5.9
# Avg Latency(us)
             0.85

# OSU MPI Broadcast Latency Test v5.9
# Size       Avg Latency(us)
1                       0.71
2                       0.70
4                       0.68
8                       0.70
16                      0.71
32                      0.72
64                      0.71
128                     0.75
256                     0.76
512                     1.03
1024                    1.04
2048                    1.59
4096                    2.24
8192                    4.51
16384                   7.03
32768                  12.10
65536                  22.37
131072                 42.95
262144                 89.27
524288                 60.40
1048576               120.70

# OSU MPI Gather Latency Test v5.9
# Size       Avg Latency(us)
1                       0.66
2                       0.69
4                       0.67
8                       0.66
16                      0.71
32                      0.69
64                      0.70
128                     0.69
256                     0.71
512                     1.02
1024                    1.00
2048                    1.09
4096                    2.17
8192                    3.35
16384                   3.99
32768                   5.40
65536                   9.22
131072                 23.99
262144                 45.86
524288                 92.63
1048576               177.15

# OSU MPI Gatherv Latency Test v5.9
# Size       Avg Latency(us)
1                       0.65
2                       0.67
4                       0.65
8                       0.65
16                      0.69
32                      0.69
64                      0.70
128                     0.69
256                     0.71
512                     1.02
1024                    1.00
2048                    1.08
4096                    2.15
8192                    2.53
16384                   3.18
32768                   5.13
65536                   9.04
131072                 20.42
262144                 42.82
524288                 88.10
1048576               172.44

# OSU MPI Non-blocking Allgather Latency Test v5.9
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.64              4.31              1.25              0.00
2                       7.77              4.41              1.22              0.00
4                       7.75              4.39              1.24              0.00
